"Name","Current.Player","Peak.Player","Link"
"Brawlhalla",1996,8127,"http://store.steampowered.com/app/291550/Brawlhalla/"
"Crossout",1980,5270,"http://store.steampowered.com/app/386180/Crossout/"
"Total War: WARHAMMER",1971,4706,"http://store.steampowered.com/app/364360/Total_War_WARHAMMER/"
"Starbound",1957,3539,"http://store.steampowered.com/app/211820/Starbound/"
"The Sims(TM) 3",1942,3071,"http://store.steampowered.com/app/47890/The_Sims_3/"
"Company of Heroes 2",1932,5089,"http://store.steampowered.com/app/231430/Company_of_Heroes_2/"
"Don't Starve",1929,2976,"http://store.steampowered.com/app/219740/Dont_Starve/"
"Trove",1907,4925,"http://store.steampowered.com/app/304050/Trove/"
"Space Engineers",1904,4490,"http://store.steampowered.com/app/244850/Space_Engineers/"
"TEKKEN 7",1890,3056,"http://store.steampowered.com/app/389730/TEKKEN_7/"
"Darkest Dungeon",1791,2946,"http://store.steampowered.com/app/262060/Darkest_Dungeon/"
"Rise of the Tomb Raider",1749,2685,"http://store.steampowered.com/app/391220/Rise_of_the_Tomb_Raider/"
