"X1","X2"
1512448177000,9848224
1512448463000,9866110
1512448748000,9882356
1512449034000,9897277
1512449320000,9909447
1512449606000,9916614
1512449891000,9923136
1512450177000,9929837
1512450463000,9916188
1512450749000,9914400
1512451035000,9915763
1512451320000,9907569
1512451606000,9904255
1512451892000,9901812
1512452178000,9892926
1512452464000,9893294
1512452749000,9888712
1512453035000,9884714
1512453321000,9875862
1512453607000,9876752
1512453892000,9869596
1512454178000,9870283
1512454464000,9872877
1512454750000,9871442
1512455036000,9873520
1512455321000,9873288
1512455607000,9876757
1512455893000,9881267
1512456179000,9885895
1512456464000,9892166
1512456750000,9891185
1512457036000,9907575
1512457322000,9935998
1512457608000,9944537
1512457893000,9965854
1512458179000,9991434
1512458465000,10016916
1512458751000,10044285
1512459036000,10068568
1512459322000,10095812
1512459608000,10125484
1512459894000,10151875
1512460180000,10179746
1512460465000,10211127
1512460751000,10247564
1512461037000,10280150
1512461323000,10304323
1512461609000,10335960
1512461894000,10367457
1512462180000,10402275
1512462466000,10434418
1512462752000,10461662
1512463037000,10481349
1512463323000,10522107
1512463609000,10553562
1512463895000,10581451
1512464181000,10607082
1512464466000,10639483
1512464752000,10657931
1512465038000,10685634
1512465324000,10708125
1512465609000,10739285
1512465895000,10773220
1512466181000,10801431
1512466467000,10830133
1512466753000,10862998
1512467038000,10897610
1512467324000,10934141
1512467610000,10971128
1512467896000,11008770
1512468181000,11053784
1512468467000,11086313
1512468753000,11134835
1512469039000,11189634
1512469325000,11245180
1512469610000,11274150
1512469896000,11331844
1512470182000,11397991
1512470468000,11467322
1512470754000,11533388
1512471039000,11606841
1512471325000,11685342
1512471611000,11752130
1512471897000,11821556
1512472182000,11890855
1512472468000,11969337
1512472754000,12061960
1512473040000,12154474
1512473326000,12246931
1512473611000,12341210
1512473897000,12422633
1512474183000,12472450
1512474469000,12564223
1512474754000,12634528
1512475040000,12728767
1512475326000,12829649
1512475612000,12907568
1512475898000,13001395
1512476183000,13095596
1512476469000,13186795
1512476755000,13276481
1512477041000,13361652
1512477327000,13424471
1512477612000,13481068
1512477898000,13555577
1512478184000,13637703
1512478470000,13711253
1512478755000,13784344
1512479041000,13856417
1512479327000,13924607
1512479613000,14002849
1512479899000,14067848
1512480184000,14109836
1512480470000,14211143
1512480756000,14265511
1512481042000,14326336
1512481327000,14379165
1512481613000,14423414
1512481899000,14463600
1512482185000,14494775
1512482471000,14526088
1512482756000,14544732
1512483042000,14567640
1512483328000,14590334
1512483614000,14607297
1512483899000,14618214
1512484185000,14621126
1512484471000,14617345
1512484757000,14612821
1512485043000,14605918
1512485328000,14590413
